"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Cài đặt ghi nhận","Lượt mua","Giá trị chuyển đổi từ lượt mua","ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua","Người liên hệ nhắn tin mới","Chi phí trên mỗi người liên hệ nhắn tin mới (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)","Đơn đặt hàng đã tạo","Đơn đặt hàng đã vận chuyển","Ngày tạo","Người tiếp cận","Lượt hiển thị","Lượt tương tác với bài viết","Tần suất","Lượt click vào liên kết"
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | 𝐑𝐀𝐍𝐃𝐎𝐌 𝐃𝐀𝐍𝐂𝐄 𝐒𝐓𝐀𝐆𝐄 | 50.000 | 25/5 - 13/6 - Bản sao",completed,61038,reach,5691.09407254,"Sử dụng ngân sách nhóm quảng cáo",0,347373,2026-06-13,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-31,61038,69526,31,1.139061,9
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | DỪNG KHOẢNG CHỪNG LÀ 2S | 50.000 | 25/5 - 20/6",completed,73193,reach,7280.05410353,"Sử dụng ngân sách nhóm quảng cáo",0,532849,2026-06-20,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-31,73193,92367,266,1.261965,90
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | QUỐC TẾ THIẾU NHI 1/6 | 50.000 | 29/5-1/6",inactive,9421,reach,3118.88334572,"Sử dụng ngân sách nhóm quảng cáo",0,29383,2026-06-01,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-31,9421,9421,3,1,
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐẬP TAN NẮNG HÈ TẠI “VŨ TRỤ BĂNG GIÁ” LỚN NHẤT MIỀN NAM | 50.000 | 2/6 - 30/6",completed,45768,reach,6464.25450096,"Sử dụng ngân sách nhóm quảng cáo",0,295856,2026-06-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-03,45768,53901,109,1.177701,26
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TALKSHOW: TRẺ CHẬM LỚN CÓ PHẢI DO THIẾU VI CHẤT?  | 50.000 | 2/6 - 6/6",completed,14607,reach,5744.02683645,"Sử dụng ngân sách nhóm quảng cáo",0,83903,2026-06-06,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-03,14607,15676,2,1.073184,2
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | Hãy chụp số cột khi để xe dưới hầm!  | 30.000 | 2/6 - 26/6 -",inactive,28859,reach,8469.21237742,"Sử dụng ngân sách nhóm quảng cáo",0,244413,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,28859,35423,3687,1.227451,
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐÓN HÈ RỰC RỠ – SĂN DEAL HẾT CỠ  | 30.000 | 10/6 - 30/6",completed,50477,reach,8694.95017533,"Sử dụng ngân sách nhóm quảng cáo",0,438895,2026-06-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,50477,68687,57,1.360758,17
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐÂY RỒII!!! KHU VUI CHƠI TUYẾT ĐÃ CHÍNH THỨC KHAI TRƯƠNG! | 30.000 | 10/6 - 10/7",completed,82503,reach,8531.27765051,"Sử dụng ngân sách nhóm quảng cáo",0,703856,2026-07-10,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,82503,114341,10059,1.385901,3
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ARTIST DAY ĐÃ QUAY TRỞ LẠI! | 30.000 | 10/6 - 14/6",completed,6203,reach,6677.09172981,"Sử dụng ngân sách nhóm quảng cáo",0,41418,2026-06-15,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,6203,6203,657,1,
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÁNG 7 NÀY, HÃY CÙNG TRẢI NGHIỆM LỄ HỘI NHẬT BẢN | 30.000 | 29/6 - 12/7",completed,60737,reach,5600.42478226,"Sử dụng ngân sách nhóm quảng cáo",0,340153,2026-07-12,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-29,60737,67580,87,1.112666,29
