"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Cài đặt ghi nhận","Lượt mua","Giá trị chuyển đổi từ lượt mua","ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua","Người liên hệ nhắn tin mới","Chi phí trên mỗi người liên hệ nhắn tin mới (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)","Đơn đặt hàng đã tạo","Đơn đặt hàng đã vận chuyển","Ngày tạo","Người tiếp cận","Lượt hiển thị","Lượt tương tác với bài viết","Tần suất","Lượt click vào liên kết"
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TRAO GIỌT HỒNG SẺ CHIA YÊU THƯƠNG  | 50.000 | 3/4-8/4",inactive,53474,reach,4637.13206418,"Sử dụng ngân sách nhóm quảng cáo",0,247966,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-04-03,53474,58838,133,1.10031,58
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | BÙNG NỔ CHUỖI SỰ KIỆN THÁNG 4  | 100.000 | 3/4-30/4",inactive,113944,reach,7185.49462894,"Sử dụng ngân sách nhóm quảng cáo",0,818744,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,2,409372,2,409372,,,2026-04-03,113944,157324,142,1.380713,115
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | [MEGA SALE] MỪNG ĐẠI LỄ | 150.000 | 14/4-3/5",inactive,156163,reach,7337.67281622,"Sử dụng ngân sách nhóm quảng cáo",0,1145873,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,1145873,2,572936.5,,,2026-04-14,156163,212760,193,1.362423,148
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐƯỜNG ĐUA “F5” CHƯA DỪNG LẠI | 50.000 | 14/4-24/4",inactive,50423,reach,6501.57666144,"Sử dụng ngân sách nhóm quảng cáo",0,327829,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-04-14,50423,58011,350,1.150487,31
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CLEARANCE SALE   | 50.000 | 14/4-20/4 - Bản sao",inactive,52066,reach,6375.0048016,"Sử dụng ngân sách nhóm quảng cáo",0,331921,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,2,165960.5,2,165960.5,,,2026-05-07,52066,62952,63,1.209081,45
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | SIÊU BÃO DEAL HÈ  | 50.000 | 14/4-20/4 - Bản sao",inactive,49323,reach,6292.86539748,"Sử dụng ngân sách nhóm quảng cáo",0,310383,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,2,155191.5,2,155191.5,,,2026-05-07,49323,57894,77,1.173773,67
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐẠI LỄ ĐẾN RỒI - CHỐT ĐƠN THÔI  | 50.000 | 14/4-20/4 - Bản sao",inactive,51333,reach,5950.03214307,"Sử dụng ngân sách nhóm quảng cáo",0,305433,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-07,51333,60842,118,1.185241,24
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | FUNZONE ADVENTURE | 50.000 | 14/4-20/4 - Bản sao",inactive,50293,reach,6987.23480405,"Sử dụng ngân sách nhóm quảng cáo",0,351409,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,2,175704.5,2,175704.5,,,2026-05-07,50293,61264,209,1.218142,21
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐẶC QUYỀN RIÊNG CHO “NGƯỜI NHÀ” ĐÃ TRỞ LẠI  | 50.000 | 14/4-20/4 - Bản sao",inactive,49084,reach,5223.67777687,"Sử dụng ngân sách nhóm quảng cáo",0,256399,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-07,49084,55511,20490,1.130939,6
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | HÀNH TRÌNH “GLOW UP” VẪN ĐANG TIẾP DIỄN | 50.000 | 14/4-20/4 - Bản sao",inactive,51561,reach,8097.69011462,"Sử dụng ngân sách nhóm quảng cáo",0,417525,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,4,104381.25,4,104381.25,,,2026-05-07,51561,67671,3220,1.312445,61
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | OVS | KHÁM PHÁ BỘ SƯU TẬP LES COPAINS   | 50.000 | 12/5 - 20/5",inactive,8437,reach,6339.45715302,"Sử dụng ngân sách nhóm quảng cáo",0,53486,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-18,8437,8965,25,1.062581,3
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | HÈ 2026 NÀY, DORAEMON RỦ CẢ NHÀ “LẶN” XUỐNG ĐÁY BIỂN LUÔN NÈ | 50.000 | 12/5 - 31/5",inactive,53592,reach,6634.14315569,"Sử dụng ngân sách nhóm quảng cáo",0,355537,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-18,53592,64156,40,1.197119,11
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | SĂN DEAL BĂNG GIÁ – ĐẬP TAN NẮNG HÈ | 50.000 | 12/5 - 14/6",inactive,110291,reach,6581.76097778,"Sử dụng ngân sách nhóm quảng cáo",0,725909,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-18,110291,138176,61,1.252831,18
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CHÀO ĐÓN TUẦN LỄ CẢM ƠN - KHUYẾN MÃI LỚN TẠI UNIQLO | 50.000 | 25/5 - 28/5",completed,12997,reach,6100.33084558,"Sử dụng ngân sách nhóm quảng cáo",0,79286,2026-05-28,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-25,12997,13438,22,1.033931,3
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CÒN GÌ TUYỆT HƠN ĐƯỢC ĐI CHƠI NHÀ TUYẾT TRONG MÙA HÈ NÀY!!! | 50.000 | 25/5 - 14",completed,46377,reach,8061.10787675,"Sử dụng ngân sách nhóm quảng cáo",0,373850,2026-06-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-31,46377,61536,8164,1.326865,
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ƯU ĐÃI CHẠM TAY, RINH NGAY KẺO LỠ | 30.000 | 2/7 - 5/7",completed,127930,reach,6139.77175018,"Sử dụng ngân sách nhóm quảng cáo",0,785461,2026-07-05,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-03,127930,152764,211,1.194122,32
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CƠ HỘI GIA NHẬP “VŨ TRỤ” AEON MALL TÂN PHÚ CELADON ĐÃ SẴN SÀNG | 30.000 | 2/7 - 14/7",completed,46819,reach,6241.01326385,"Sử dụng ngân sách nhóm quảng cáo",0,292198,2026-07-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-03,46819,53819,397,1.149512,104
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | GIẢM ĐẾN 33% COMBO 3 VÉ | 40.000 | 7/7 - 14/7",inactive,42879,reach,6733.20273327,"Sử dụng ngân sách nhóm quảng cáo",0,288713,2026-07-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-07,42879,49643,78,1.157746,27
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | [NÂNG CẤP CỬA HÀNG] 🎉 HOÀNG PHÚC CHÍNH THỨC TRỞ LẠI | 40.000 | 7/7 - 14/7",inactive,42240,reach,6369.86268939,"Sử dụng ngân sách nhóm quảng cáo",0,269063,2026-07-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-07,42240,48044,90,1.137405,18
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | DIỄN TẬP PHÒNG CHÁY CHỮA CHÁY | 17/7 - 30/7",active,87958,reach,6974.93121717,"Sử dụng ngân sách nhóm quảng cáo",0,613501,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-17,87958,110850,653,1.260261,44
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ƯU ĐÃI NGẬP TRÀN JAPAN FESTIVAL | 17/7 - 30/7 - Bản sao",active,43819,reach,6153.38095347,"Sử dụng ngân sách nhóm quảng cáo",0,269635,2026-07-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-17,43819,49767,48,1.13574,11
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | GÓC TUYỂN DỤNG | 17/7 - 30/7 - Bản sao 2",active,45359,reach,6018.91576093,"Sử dụng ngân sách nhóm quảng cáo",0,273012,2026-07-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-17,45359,50494,859,1.113208,147
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | STUDIO ULTIMUNE X LISA  | 50.000 | 11/3-12/3",inactive,57349,reach,7375.5427296,"Sử dụng ngân sách nhóm quảng cáo",0,422980,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-03-11,57349,60825,56,1.060611,50
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TALKSHOW: ĂN UỐNG KHOA HỌC – SỨC KHỎE VỮNG VÀNG | 70.000 | 11/3-15/3",inactive,72175,reach,9336.45999307,"Sử dụng ngân sách nhóm quảng cáo",0,673859,"Đang diễn ra",-,,,,1,673859,1,673859,,,2026-03-11,72175,93091,63,1.289796,57
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach |  TRAO GIỌT HỒNG SẺ CHIA YÊU THƯƠNG | 50.000 | 23/3-1/4",inactive,51344,reach,5445.31006544,"Sử dụng ngân sách nhóm quảng cáo",0,279584,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-03-23,51344,59594,75,1.160681,56
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TỔ HỢP VẬN ĐỘNG FUNZONE ADVENTURE  | 50.000 | 3/4-8/4",inactive,50222,reach,6139.62008681,"Sử dụng ngân sách nhóm quảng cáo",0,308344,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-04-03,50222,59135,59,1.177472,13
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | 12 NĂM RỒI | 50.000 | 3/4-8/4",inactive,50151,reach,5548.46363981,"Sử dụng ngân sách nhóm quảng cáo",0,278261,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,278261,1,278261,,,2026-04-03,50151,57416,127,1.144863,19
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÁNG 4 RỰC RỠ | 50.000 | 14/4-24/4",inactive,51816,reach,6878.01065308,"Sử dụng ngân sách nhóm quảng cáo",0,356391,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,356391,1,356391,,,2026-04-14,51816,59136,242,1.141269,41
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CHÚNG TÔI XÁC NHẬN ""MẤT TÍCH"" 12 TẤN ƯU PHIỀN | 30.000 | 14/4-20/4",inactive,31511,reach,6604.58252674,"Sử dụng ngân sách nhóm quảng cáo",0,208117,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-04-14,31511,34713,88,1.101615,10
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÀNH VIÊN KIDS CLUB  | 50.000 | 14/4-20/4 - Bản sao",inactive,46454,reach,6645.17587291,"Sử dụng ngân sách nhóm quảng cáo",0,308695,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,308695,1,308695,,,2026-05-07,46454,58080,53,1.250269,46
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | BIẾN AEON  MALL TÂN PHÚ CELADON | 50.000 | 12/5 - 25/5",inactive,34423,reach,5675.71100718,"Sử dụng ngân sách nhóm quảng cáo",0,195375,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-18,34423,37945,45,1.102315,16
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | STANLEY 1913 x JENNIE COLLECTION | 50.000 | 25/5 - 31/5",inactive,24342,reach,6378.02974283,"Sử dụng ngân sách nhóm quảng cáo",0,155254,2026-05-31,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-25,24342,27193,45,1.117123,7
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | LƯU NGAY LỊCH HÈ, NÉ CƠN NÓNG GẮT | 50.000 | 25/5 - 13/6",completed,81804,reach,6152.03413036,"Sử dụng ngân sách nhóm quảng cáo",0,503261,2026-06-13,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-25,81804,95750,54,1.170481,11
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ĐÓN HÈ THIẾU NHI – KEM NGON MỞ HỘI | 50.000 | 25/5 - 31/5",completed,5046,reach,5355.33095521,"Sử dụng ngân sách nhóm quảng cáo",0,27023,2026-06-01,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-31,5046,5046,8,1,3
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÁNG 6 NÀY CÓ GÌ HOT TẠI AEON MALL TÂN PHÚ CELADON?  | 30.000 | 10/6 - 31/6",completed,70722,reach,6206.10276859,"Sử dụng ngân sách nhóm quảng cáo",0,438908,2026-06-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-14,70722,78441,54,1.109146,11
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | 𝗕𝗜𝗚𝗚𝗘𝗦𝗧 𝗟𝗘𝗩𝗜'𝗦 𝗘𝗡𝗗 𝗢𝗙 𝗦𝗘𝗔𝗦𝗢𝗡 𝗦𝗔𝗟𝗘 | 30.000 | 29/6 - 5/7",completed,44366,reach,6474.07924988,"Sử dụng ngân sách nhóm quảng cáo",0,287229,2026-07-10,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-29,44366,54694,63,1.232791,23
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | WORKSHOP & NGUYỆN ƯỚC TRONG CÁNH ANH ĐÀOWORKSHOP & NGUYỆN ƯỚC TRONG CÁNH ANH ĐÀOWORKSHOP & NGUYỆN ƯỚC TRONG CÁNH ANH ĐÀO | 30.000 | 10/6 - 10/7 - Bản sao",completed,52528,reach,6476.52680475,"Sử dụng ngân sách nhóm quảng cáo",0,340199,2026-07-12,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-29,52528,61708,131,1.174764,29
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CƠ HỘI CUỐI CÙNG SĂN SIÊU ƯU ĐÃI LÊN ĐẾN 50%+++  | 30.000 | 29/6 - 5/7",completed,26340,reach,5874.98101746,"Sử dụng ngân sách nhóm quảng cáo",0,154747,2026-07-05,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-29,26340,29761,36,1.129879,9
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | HOT JOB ĐỔ BỘ HOT NHẤT | 30.000 | 29/6 - 12/7",completed,47382,reach,6062.36545524,"Sử dụng ngân sách nhóm quảng cáo",0,287247,2026-07-10,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-29,47382,53288,386,1.124646,78
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | 🍜 KOHAKU RAMEN & UDON EXPRESS | 30.000 | 29/6 - 5/7",completed,26480,reach,5843.91993958,"Sử dụng ngân sách nhóm quảng cáo",0,154747,2026-07-05,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-06-29,26480,29895,77,1.128965,9
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | [NÂNG CẤP CỬA HÀNG]✨ OWEN CHÍNH THỨC TRỞ LẠI  | 40.000 | 7/7 - 14/7",inactive,41047,reach,6743.05064926,"Sử dụng ngân sách nhóm quảng cáo",0,276782,2026-07-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-07,41047,49136,58,1.197067,15
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TRẢI NGHIỆM ẨM THỰC CHUẨN NHẬT | 40.000 | 7/7 - 14/7",inactive,42149,reach,6762.24821467,"Sử dụng ngân sách nhóm quảng cáo",0,285022,2026-07-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-07,42149,49710,1587,1.179387,14
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TRẠM KHỞI ĐỘNG VUI HÈ CÙNG KUN CHÍNH THỨC ĐỔ BỘ | 17/7 - 30/7 - Bản sao 2",completed,10613,reach,4821.82229341,"Sử dụng ngân sách nhóm quảng cáo",0,51174,2026-07-19,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-17,10613,10833,2,1.020729,
